table_number,table_title,title_fr,row_label,row_kind,year,value,provisional,n_editions,agreement,edition,page
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2017,706548.0,False,2,confirmed,2018,202
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2018,895519.0,False,1,single source,2018,202
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2006,20777.0,False,1,single source,2010,207
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2007,21270.0,False,2,confirmed,2011,209
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2008,24938.0,False,3,confirmed,2012,207
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2009,30151.0,False,3,confirmed,2012,207
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2010,30246.0,False,4,confirmed,2014,199
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2011,44723.0,False,4,confirmed,2015,198
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2012,43333.0,False,4,confirmed,2016,198
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2013,42016.0,False,4,confirmed,2017,198
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2014,46668.0,False,5,confirmed,2018,202
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2015,42820.0,False,4,confirmed,2018,202
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats émis en Tunisie,data,2016,32573.0,False,3,confirmed,2018,202
