product_code,product_label_fr,consumption_function_code,consumption_function,consumption_function_fr
1542,Poulpe séché,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1551,Thon en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1552,Sardine en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1553,Onchoua,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1554,Knor poisson,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1559,Autres poisons en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1601,Lait de vache frais ou caillé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1602,Lait de chèvre frais ou caillé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1603,Lait de brebis frais ou caillé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1609,Lait frais sans indications (lait de chamelle…),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1611,Petit lait frais de vache (lben),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1612,Petit lait frais de chèvre (lben),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1613,Petit lait frais de brebis,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1614,Petit lait en berlingot,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1615,Lait caillé en berlingot,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1619,Petit lait frais sans indications,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1621,"Lait naturel entier stérilisé (en bouteille plastique ou en carton tetrabrik) exemple : (Délice, Beldi, Vitalait…)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1622,Lait naturel demi-écrémé stérilisé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1623,Lait naturel écrémé stérilisé (0% matière grace),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1624,Lait naturel stérilisé sans indications,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1625,Lait pasteurisé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1626,Lait régénéré stérilisé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1627,Lait aromatisé stérilisé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1629,Lait industriel sans autres indications,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1631,Lait concentré sucré(nestlé...),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1632,Lait concentré non sucré,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1639,Lait concentré sans autres indications,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1641,Lait en poudre sucré,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1642,Lait en poudre non  sucré,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1643,lait en poudre pour bébé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1649,Lait en poudre sans autres indications,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1651,Yaourt naturel,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1652,Yaourt aromatisé+mamzouj,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1653,Yaourt aux fruits,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1654,"Yaourt crème dessert (chocolat, flan, liégeoise…)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1655,"Yaourt à boire (DAN-UP, NOV-UP, YOGO…)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
